python
import csv
import yaml

# Your YAML data as a string
yaml_data = """
planets:
  - planet_name: Zephyron
    discovery_year: 2134
    gravity_m_s2: 12.5
    has_rings: true
    distance_ly: 42.7
    last_visited: 2178-06-14
  - planet_name: Auroria
    discovery_year: 2099
    gravity_m_s2: 8.3
    has_rings: false
    distance_ly: 15.2
    last_visited: 2180-02-23
  - planet_name: Thalassa
    discovery_year: 2150
    gravity_m_s2: 16.9
    has_rings: true
    distance_ly: 67.8
    last_visited: 2181-11-05
  - planet_name: Pyrrhos
    discovery_year: 2112
    gravity_m_s2: 22.1
    has_rings: false
    distance_ly: 33.3
    last_visited: 2179-04-18
  - planet_name: Virelia
    discovery_year: 2105
    gravity_m_s2: 9.7
    has_rings: true
    distance_ly: 27.5
    last_visited: 2182-01-29
  - planet_name: Luminis
    discovery_year: 2161
    gravity_m_s2: 5.4
    has_rings: false
    distance_ly: 58.6
    last_visited: 2180-09-12
"""

# Load the YAML data
data = yaml.safe_load(yaml_data)

# Open a file for writing
with open('planets.csv', 'w', newline='') as file:
    # Create a CSV writer object
    writer = csv.DictWriter(file, fieldnames=data[0].keys())
    
    # Write the header (field names)
    writer.writeheader()
    
    # Write the data rows
    for planet in data['planets']:
        writer.writerow(planet)

print("CSV file 'planets.csv' has been created.")
