
species_name = "FictionalLion"
biome_primary_type = "Savannah"
biome_secondary_types = "Grassland;Woodland"
habitat_region = "Africa"
habitat_elevation_meters = "500-1500"
habitat_climate = "Tropical"
physical_traits_average_height_cm = 200
physical_traits_average_weight_kg = 180.5
physical_traits_color_variations = "Golden;Tawny"
diet_primary_food = "Meat"
diet_secondary_foods = "Fruits;Vegetables"
population_estimated_count = 10000
population_status = "Endangered"
behavior_daily_activity_pattern = "Diurnal"
behavior_social_structure = "Pride"

csv_row = f"{species_name},{biome_primary_type},{biome_secondary_types},{habitat_region},{habitat_elevation_meters},{habitat_climate},{physical_traits_average_height_cm},{physical_traits_average_weight_kg},{physical_traits_color_variations},{diet_primary_food},{diet_secondary_foods},{population_estimated_count},{population_status},{behavior_daily_activity_pattern},{behavior_social_structure}"
print(csv_row)
