python
import csv
import yaml

# Your YAML data as a string
yaml_data = """
planets:
  - planet_name: Zephyria
    discovery_year: 2187
    distance_lightyears: 42.3
    dominant_element: Helium
    population_estimate: 0
    last_explored: 2231-07-16
  - planet_name: Morvax
    discovery_year: 2201
    distance_lightyears: 88.9
    dominant_element: Silicon
    population_estimate: 1200
    last_explored: 2230-03-02
  - planet_name: Eldoria
    discovery_year: 2179
    distance_lightyears: 15.7
    dominant_element: Oxygen
    population_estimate: 46000
    last_explored: 2229-11-25
  - planet_name: Quarnis
    discovery_year: 2198
    distance_lightyears: 110.4
    dominant_element: Neon
    population_estimate: 0
    last_explored: 2232-01-09
  - planet_name: Surnix
    discovery_year: 2210
    distance_lightyears: 67.2
    dominant_element: Iron
    population_estimate: 890
    last_explored: 2231-05-30
  - planet_name: Thaloria
    discovery_year: 2183
    distance_lightyears: 33.5
    dominant_element: Nitrogen
    population_estimate: 5700
    last_explored: 2230-12-12
"""

# Load the YAML data
data = yaml.safe_load(yaml_data)

# Write to CSV
with open('planets.csv', 'w', newline='') as csvfile:
    fieldnames = data[0].keys()
    writer = csv.DictWriter(csvfile, fieldnames=fieldnames)

    writer.writeheader()
    for planet in data['planets']:
        writer.writerow(planet)
