python
import csv
import yaml

# Your YAML data as a string
yaml_data = """
planets:
  - planet_name: Zephyron
    ring_count: 3
    discovery_date: 2187-04-16
    gravity_m_s2: 12.4
    dominant_gas: Neon
    moons: 2
  - planet_name: Auroria
    ring_count: 0
    discovery_date: 2193-11-03
    gravity_m_s2: 9.8
    dominant_gas: Oxygen
    moons: 1
  - planet_name: Virelia
    ring_count: 1
    discovery_date: 2179-07-25
    gravity_m_s2: 7.9
    dominant_gas: Argon
    moons: 4
  - planet_name: Thalassa
    ring_count: 5
    discovery_date: 2201-02-11
    gravity_m_s2: 15.2
    dominant_gas: Methane
    moons: 6
  - planet_name: Pyrrhos
    ring_count: 2
    discovery_date: 2182-09-30
    gravity_m_s2: 17.3
    dominant_gas: Helium
    moons: 0
  - planet_name: Celestria
    ring_count: 4
    discovery_date: 2197-12-19
    gravity_m_s2: 11.1
    dominant_gas: Hydrogen
    moons: 3
"""

# Load the YAML data
data = yaml.safe_load(yaml_data)

# Write to CSV
with open('planets.csv', 'w', newline='') as file:
    writer = csv.DictWriter(file, fieldnames=data[0].keys())
    writer.writeheader()
    for planet in data['planets']:
        writer.writerow(planet)

print("CSV file 'planets.csv' has been created.")
