
import pandas as pd

# Define the artifact data
artifact_data = {
    "artifact_id": "A12345",
    "artifact_name": "The Enigma Vessel",
    "discovery_date": "1975-08-12",
    "discovered_by": "Dr. Amelia Thompson and the X-Y Archaeological Team",
    "origin_country": "Atlantis",
    "current_location": "The Atlantis Museum, Atlantis",
    "material": "Enigma Alloy",
    "estimated_age_years": 5000,
    "historical_period": "Enigma Era",
    "dimensions_height_cm": 120.5,
    "dimensions_width_cm": 80.2,
    "dimensions_depth_cm": 30.1,
    "condition_status": "intact",
    "notable_features": "Unique enigma patterns on the surface",
    "associated_myths": "Legend of the Enigma Guardians"
}

# Create a DataFrame from the artifact data
artifact_df = pd.DataFrame([artifact_data])

# Save the DataFrame to a CSV file
artifact_df.to_csv("artifact.csv", index=False)
