python
import csv
import yaml

# YAML data
data = """
planets:
  - planet_name: Zephyria
    gravity_g: 1.2
    discovery_year: 2042
    has_rings: true
    moon_count: 3
    atmosphere: Neon-rich
  - planet_name: Glimmarion
    gravity_g: 0.7
    discovery_year: 2099
    has_rings: false
    moon_count: 1
    atmosphere: Methane
  - planet_name: Volturna
    gravity_g: 2.5
    discovery_year: 2183
    has_rings: true
    moon_count: 5
    atmosphere: Oxygen-Nitrogen
  - planet_name: Quarion
    gravity_g: 0.95
    discovery_year: 2066
    has_rings: false
    moon_count: 2
    atmosphere: Carbon Dioxide
  - planet_name: Eldoria
    gravity_g: 1.8
    discovery_year: 2120
    has_rings: true
    moon_count: 4
    atmosphere: Ammonia
  - planet_name: Saphyra
    gravity_g: 1.1
    discovery_year: 2175
    has_rings: false
    moon_count: 0
    atmosphere: Helium
"""

# Parse YAML data
parsed_data = yaml.safe_load(data)

# Write to CSV
with open('planets.csv', 'w', newline='') as csvfile:
    fieldnames = parsed_data[0].keys()
    writer = csv.DictWriter(csvfile, fieldnames=fieldnames)

    writer.writeheader()
    for planet in parsed_data['planets']:
        writer.writerow(planet)
