python
import csv
import yaml

# Your YAML data as a string
data = """
planets:
  - planet_name: Zephyron
    orbital_period_days: 412.7
    discovery_date: 2077-03-15
    has_rings: true
    dominant_gas: Neon
    number_of_moons: 3
  - planet_name: Xyloxis
    orbital_period_days: 128.4
    discovery_date: 2091-11-02
    has_rings: false
    dominant_gas: Methane
    number_of_moons: 1
  - planet_name: Auroria
    orbital_period_days: 560.2
    discovery_date: 2084-07-23
    has_rings: true
    dominant_gas: Hydrogen
    number_of_moons: 7
  - planet_name: Virelia
    orbital_period_days: 299.9
    discovery_date: 2001-01-09
    has_rings: false
    dominant_gas: Helium
    number_of_moons: 2
  - planet_name: Cyrinth
    orbital_period_days: 780.6
    discovery_date: 2110-05-30
    has_rings: true
    dominant_gas: Argon
    number_of_moons: 5
  - planet_name: Quorix
    orbital_period_days: 55.3
    discovery_date: 2089-12-12
    has_rings: false
    dominant_gas: Oxygen
    number_of_moons: 0
"""

# Load the YAML data
planets = yaml.safe_load(data)['planets']

# Define the CSV file name
csv_file = 'planets.csv'

# Write the data to a CSV file
with open(csv_file, 'w', newline='') as file:
    writer = csv.DictWriter(file, fieldnames=planets[0].keys())
    writer.writeheader()
    for planet in planets:
        writer.writerow(planet)

print(f"CSV file '{csv_file}' has been created.")
