
import pandas as pd

xml_data = """
<planets>
  <planet>
    <PlanetName>Zephyria</PlanetName>
    <DiscoveryYear>2178</DiscoveryYear>
    <DistanceFromEarthLY>42.7</DistanceFromEarthLY>
    <AtmosphereType>Methane-Rich</AtmosphereType>
    <NumberOfMoons>3</NumberOfMoons>
    <LastProbeVisit>2222-08-14</LastProbeVisit>
  </planet>
  <planet>
    <PlanetName>Orbis Prime</PlanetName>
    <DiscoveryYear>2145</DiscoveryYear>
    <DistanceFromEarthLY>128.4</DistanceFromEarthLY>
    <AtmosphereType>Oxygen-Nitrogen</AtmosphereType>
    <NumberOfMoons>1</NumberOfMoons>
    <LastProbeVisit>2210-11-29</LastProbeVisit>
  </planet>
  <planet>
    <PlanetName>Crystalis</PlanetName>
    <DiscoveryYear>2230</DiscoveryYear>
    <DistanceFromEarthLY>75.2</DistanceFromEarthLY>
    <AtmosphereType>Ammonia</AtmosphereType>
    <NumberOfMoons>2</NumberOfMoons>
    <LastProbeVisit>2231-01-05</LastProbeVisit>
  </planet>
  <planet>
    <PlanetName>Vermillion</PlanetName>
    <DiscoveryYear>2196</DiscoveryYear>
    <DistanceFromEarthLY>15.9</DistanceFromEarthLY>
    <AtmosphereType>Carbon Dioxide</AtmosphereType>
    <NumberOfMoons>5</NumberOfMoons>
    <LastProbeVisit>2201-04-17</LastProbeVisit>
  </planet>
  <planet>
    <PlanetName>Thalassa</PlanetName>
    <DiscoveryYear>2212</DiscoveryYear>
    <DistanceFromEarthLY>94.3</DistanceFromEarthLY>
    <AtmosphereType>Hydrogen-Helium</AtmosphereType>
    <NumberOfMoons>0</NumberOfMoons>
    <LastProbeVisit>2220-09-21</LastProbeVisit>
  </planet>
</planets>
"""

df = pd.read_xml(xml_data)
df.to_csv('planets.csv', index=False)
