
import csv
from datetime import datetime

data = [
    {
        "artifact_name": "Whispering Chalice",
        "species": "Elf",
        "discovery_date": datetime(1876, 3, 14),
        "estimated_age_years": 920,
        "material": "Silver",
        "is_cursed": True,
        "appraised_value": 12000.50
    },
    {
        "artifact_name": "Golem Heartstone",
        "species": "Golem",
        "discovery_date": datetime(1992, 11, 2),
        "estimated_age_years": 1500,
        "material": "Granite",
        "is_cursed": False,
        "appraised_value": 8000.00
    },
    {
        "artifact_name": "Phoenix Feather Quill",
        "species": "Phoenix",
        "discovery_date": datetime(2008, 7, 21),
        "estimated_age_years": 350,
        "material": "Feather",
        "is_cursed": False,
        "appraised_value": 4500.75
    },
    {
        "artifact_name": "Kraken Ink Vial",
        "species": "Kraken",
        "discovery_date": datetime(1954, 5, 9),
        "estimated_age_years": 600,
        "material": "Glass",
        "is_cursed": True,
        "appraised_value": 9900.00
    },
    {
        "artifact_name": "Dragonbone Flute",
        "species": "Dragon",
        "discovery_date": datetime(1821, 10, 30),
        "estimated_age_years": 1800,
        "material": "Bone",
        "is_cursed": False,
        "appraised_value": 25000.00
    },
    {
        "artifact_name": "Sprite Lantern",
        "species": "Sprite",
        "discovery_date": datetime(2016, 12, 18),
        "estimated_age_years": 120,
        "material": "Crystal",
        "is_cursed": True,
        "appraised_value": 3700.25
    }
]

with open('artifacts.csv', 'w', newline='') as csvfile:
    fieldnames = ["artifact_name", "species", "discovery_date", "estimated_age_years", "material", "is_cursed", "appraised_value"]
    writer = csv.DictWriter(csvfile, fieldnames=fieldnames)

    writer.writeheader()
    for item in data:
        writer.writerow({
            "artifact_name": item["artifact_name"],
            "species": item["species"],
            "discovery_date": item["discovery_date"].strftime("%Y-%m-%d"),
            "estimated_age_years": item["estimated_age_years"],
            "material": item["material"],
            "is_cursed": str(item["is_cursed"]).lower(),
            "appraised_value": item["appraised_value"]
        })
