
import pandas as pd
import json

data = '''[
  {
    "Constellation": "Lyra",
    "DiscoveryYear": 1783,
    "StarType": "White Dwarf",
    "ApparentMagnitude": 12.8,
    "DistanceLY": 25.3,
    "LastObserved": "2023-09-15"
  },
  {
    "Constellation": "Orion",
    "DiscoveryYear": 1901,
    "StarType": "Red Supergiant",
    "ApparentMagnitude": 0.5,
    "DistanceLY": 642.5,
    "LastObserved": "2024-01-02"
  },
  {
    "Constellation": "Cassiopeia",
    "DiscoveryYear": 1845,
    "StarType": "Neutron Star",
    "ApparentMagnitude": 17.2,
    "DistanceLY": 11000.0,
    "LastObserved": "2022-11-23"
  },
  {
    "Constellation": "Centaurus",
    "DiscoveryYear": 1956,
    "StarType": "Binary System",
    "ApparentMagnitude": 4.1,
    "DistanceLY": 4.37,
    "LastObserved": "2023-06-05"
  },
  {
    "Constellation": "Ursa Major",
    "DiscoveryYear": 2003,
    "StarType": "Blue Giant",
    "ApparentMagnitude": 1.8,
    "DistanceLY": 81.4,
    "LastObserved": "2024-03-19"
  },
  {
    "Constellation": "Pegasus",
    "DiscoveryYear": 1899,
    "StarType": "Yellow Dwarf",
    "ApparentMagnitude": 5.7,
    "DistanceLY": 154.3,
    "LastObserved": "2023-12-12"
  }
]'''

df = pd.json_normalize(json.loads(data))
df.to_csv('stars.csv', index=False)
