
import csv

# Define the CSV headers based on feature requirements
fieldnames = [
    'artifact_id',
    'artifact_name',
    'discovery.site',
    'discovery.country',
    'discovery.year',
    'material.primary',
    'material.secondary',
    'dimensions.height_cm',
    'dimensions.width_cm',
    'dimensions.depth_cm',
    'condition.current_state',
    'condition.restoration_years',
    'provenance.previous_owners',
    'provenance.auction_history',
    'exhibit.locations'
]

# Example data row (replace with actual data as needed)
artifact = {
    'artifact_id': 'A12345',
    'artifact_name': 'Ancient Vase',
    'discovery.site': 'Valley of Kings',
    'discovery.country': 'Egypt',
    'discovery.year': 1922,
    'material.primary': 'Clay',
    'material.secondary': 'Gold, Silver',
    'dimensions.height_cm': 45.50,
    'dimensions.width_cm': 30.75,
    'dimensions.depth_cm': 25.00,
    'condition.current_state': 'restored',
    'condition.restoration_years': '1950,1980',
    'provenance.previous_owners': 'British Museum,Private Collection',
    'provenance.auction_history': '1995 Sotheby's,2005 Christie's',
    'exhibit.locations': 'Louvre Museum,Metropolitan Museum of Art'
}

# Write to CSV
with open('artifacts.csv', 'w', newline='', encoding='utf-8') as csvfile:
    writer = csv.DictWriter(csvfile, fieldnames=fieldnames)
    writer.writeheader()
    writer.writerow(artifact)
